Type,DateTime,Title,Channel,Description
AA_SPEAKER,2017-10-27T15:32:43.000Z,"Peter M. - AA Speaker - ""Finding Freedom, Healing, and Happiness"" NEW 2017",Odomtology 12-Step Recovery Media,One of the best AA speakers of all time is back with an amazing share from earlier this year! Peter's way of speaking and delivering the message is truly a gift from a Higher Power. He connects...
AA_SPEAKER,2017-02-10T17:36:33.000Z,"AA Speaker Mike ""Best Speaker added this Year!""",AA Speaker Tapes,AA Speaker Mike kill it with this share a must listen! Hope you enjoy! We will be adding new tapes every week from our users! If you have a tape you want to share visit our website and contact us.
AA_SPEAKER,2014-02-11T19:34:04.000Z,AA Speaker Tapes,AA Speaker Tapes,My hope is to bring you the best and biggest list of AA Speaker tapes and AA Big Book Study Tapes you could ever find on the web. If you have one you would like to add visit our website and...
AA_SPEAKER,2015-01-07T17:11:59.000Z,AA speakers to get out of funk,Melissa Schmidt,
AA_SPEAKER,2014-05-07T19:02:46.000Z,"Don M. - AA Speaker - ""Feelings are NOT Reality!""",Odomtology 12-Step Recovery Media,"Don M. takes on the topic of ""feelings"" in this AA Speaker tape. One of the things many people in recovery struggle with, is being prey to our feelings as well as being propelled to sometimes..."
AA_SPEAKER,2016-01-06T06:32:16.000Z,Top 25 aa speakers,Troutbum 300,
AA_SPEAKER,2013-12-02T22:10:12.000Z,Adam T. - AA Speaker - Hilarious Recovery Share! NEW 2013,Odomtology 12-Step Recovery Media,"Get ready for an AWESOME message delivered in an entertaining way! I love how Adam relates his story and his journey to recovery. This tape is full of laughs, but carries a strong message..."
AA_SPEAKER,2013-07-01T20:15:54.000Z,"Don P. - AA Speaker - ""The Topic of Fear and Relationships""",Odomtology 12-Step Recovery Media,"In this tape, one of the best AA speakers, Don P. from Colorado, shares his experience, strength, and hope with the topic of fear, as well as the topic of relationships with others. He uses..."
AA_SPEAKER,2013-03-27T20:53:20.000Z,"Mickey B. - AA Speaker - ""The First Steps of Recovery, and the Promises""",Odomtology 12-Step Recovery Media,"Awesome AA speaker, Mickey B. from the UK/California shares about the first three steps of the 12-Step Program of Recovery. He also shares the gifts and blessings of working the program and..."
AA_SPEAKER,2016-05-22T20:28:34.000Z,A.A. Speaker Adam T.  Hilarious Recovery Share!,Alcoholicos y Narcoticos Anonimos,"Get ready for an AWESOME message delivered in an entertaining way! I love how Adam relates his story and his journey to recovery. This tape is full of laughs, but carries a strong message of..."
AA_SPEAKER,2014-11-05T19:48:25.000Z,"Myers R. - AA Speaker - ""The Coolest Thing in the World is Recovery From Alcoholism""",Odomtology 12-Step Recovery Media,"One half of the dynamic duo of AA speakers, Myers R. (whose brother is Chris R.) shares his incredible and inspirational story. If this tape does not motivate you or touch your heart, well..."
AA_SPEAKER,2013-06-10T20:19:06.000Z,"Larry T. - AA Speaker - ""Surrendering to Win""",Odomtology 12-Step Recovery Media,"Awesome speaker tape by Larry T., who is one of the best AA speakers of all time, in my humble opinion. His tapes tend to make me laugh quite a bit, they sometimes make me cry, but they always..."
AA_SPEAKER,2017-02-06T18:44:53.000Z,"AA Speaker Danny "" Great Message""",AA Speaker Tapes,AA Speaker Danny Hope you enjoy! We will be adding new tapes every week from our users! If you have a tape you want to share visit our website and contact us.
AA_SPEAKER,2012-05-09T19:43:37.000Z,"Joshua H. - AA Speaker - ""Being Young in Recovery""",Odomtology 12-Step Recovery Media,"Really great talk from Joshua H. he is a WONDERFUL AA speaker, and shares some awesome experience, strength, and hope as he overcomes alcohol addiction! Enjoy! :) Addiction treatment WORKS!..."
AA_SPEAKER,2013-05-02T15:38:16.000Z,"Peter M. - AA Speaker - ""The Sunlight of the Spirit""",Odomtology 12-Step Recovery Media,AA speaker Peter M. from New Jersey hits it out of the park again with this wonderful share! Addiction treatment WORKS! The Twelve Step Model has been utilized as a treatment for alcohol abuse...
AA_SPEAKER,2014-06-26T17:36:14.000Z,Best Speakers for the Newcomer to Alcoholics Anonymous,Odomtology 12-Step Recovery Media,"If you are fresh out of detox, treatment or rehab. Or if you just have a problem with alcohol, these AA speaker tapes will help you immensely. When I first got sober, listening to speakers..."
AA_SPEAKER,2013-04-03T21:37:11.000Z,"Bob D. - AA Speakers - ""Surrender""",Odomtology 12-Step Recovery Media,"Bob D. does it again and absolutely knocks it out of the park! This is a wonderful tape for newcomers. He explains, in his typical down-to-earth style the nature of ""surrender"" (a word that..."
AA_SPEAKER,2013-10-30T19:43:04.000Z,"Sandy B. - AA Speaker - ""God's Plan For Us""",Odomtology 12-Step Recovery Media,"From the book Alcoholics Anonymous: ""In spite of the great increase in the size and span of this Fellowship, at its core it remains simple and personal. Each day, somewhere in the world, recovery..."
AA_SPEAKER,2013-03-22T02:33:32.000Z,AA Speakers and More,AA Speakers and More,AA Speakers and More (Formerly We Do Recover) is a YouTube channel devoted to helping people find 12 step recovery speakers that they can identify with. We are not affiliated in any way with...
AA_SPEAKER,2013-01-24T22:45:53.000Z,Alcoholics Anonymous Speakers - AA Speakers,Odomtology 12-Step Recovery Media,"Alcoholics Anonymous Speaker Tapes - Subscribe to our channel for awesome xa speakers! ""Most of us feel we need look no further for Utopia. We have it with us right here and now. Each day..."
AA_SPEAKER,2013-08-19T19:24:13.000Z,"Sandy B. ""Practicing the Presence of Now"" - AA Speaker",Odomtology 12-Step Recovery Media,"One of the most powerful and moving AA speakers, Sandy B. from Florida shares about spirituality, recovery, and life. TONS of great insight and advice for living on a daily basis. Do not..."
AA_SPEAKER,2014-04-16T16:24:45.000Z,"Katie P. - AA Speaker - ""Living the Solution Daily""",Odomtology 12-Step Recovery Media,"One of my favorite speakers, and people in general, Katie P. shares her experience in recovery and how she became involved in the Program, and not just the fellowship. Her story really highlights..."
AA_SPEAKER,2014-05-29T16:37:12.000Z,"Joe H. - AA Speaker - ""Finding and Using a Higher Power""",Odomtology 12-Step Recovery Media,"One of the most important things in recovery is our relationship with a Higher Power. In this AMAZING workshop, Joe H. from California talks about the importance of the spiritual life and..."
AA_SPEAKER,2012-12-20T19:14:14.000Z,"Chuck C. - AA Speaker - ""New Way of Seeing The World"" - Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Love Chuck C... what an amazing man.. no further comments required. Do yourself a favor and read the book ""New Pair of Glasses"" it is excellent and life-changing! Addiction treatment WORKS!..."
AA_SPEAKER,2013-12-02T22:29:34.000Z,"Sandy B. - AA Speaker - ""Everything is Perception"" 12-Step Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Sandy B. is at it again with this POWERFUL share on the topic of ""everything is perception."" From the steps, to our relationships, to our work relationships, and even life and death, it is..."
AA_SPEAKER,2017-01-07T18:24:20.000Z,"Tom B. - AA Speaker - ""Emotional Sobriety"" and 12-Step Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Awesome share by one of the best AA speakers, Tom B. This is perhaps the BEST talk on the topic of ""emotional sobriety"" I have ever heard! MUST LISTEN! :) From the book Alcoholics Anonymous:..."
AA_SPEAKER,2014-07-16T16:40:14.000Z,"Scott L. - AA Speaker - ""How to forgive others and let go of our past""",Odomtology 12-Step Recovery Media,"If you have ever filled out worksheets or a step 4 of alcoholics anonymous, then you know about the power that our past, our fears, and our resentments can have over us. In this beautiful..."
AA_SPEAKER,2013-05-28T17:41:50.000Z,"Bob D. - AA Speaker - ""The Matters of Fear and Relationships"" 12-Step Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Bob D. gives another wonderful talk on the fourth step process of fear and how ""self-reliance"" has failed in combating it. He also goes on to share about relationships in sobriety and some..."
AA_SPEAKER,2014-06-26T17:33:13.000Z,The Best Women AA Speakers,Odomtology 12-Step Recovery Media,These powerful women for sobriety in Alcoholics Anonymous share their stories in the hopes it might help someone to recover from alcoholism!
AA_SPEAKER,2013-01-11T17:10:12.000Z,"Mark H. - AA Speaker - ""Gratitude, Grace, Mediation, and Life""",Odomtology 12-Step Recovery Media,"AMAZING workshop by Mark H. from Texas. This workshop covers just about anything that happens in the life of an alcoholic in recovery. Jam-packed with tons of applicable experience and insight,..."
AA_SPEAKER,2013-05-28T19:12:06.000Z,"Tom B. - AA Speaker - ""Emotional Sobriety"" and 12-Step Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Awesome share by one of the best AA speakers, Tom B. This is perhaps the BEST talk on the topic of ""emotional sobriety"" I have ever heard! MUST LISTEN! :) From the book Alcoholics Anonymous:..."
AA_SPEAKER,2014-04-16T19:00:42.000Z,"Earl H. - AA Speaker - ""Growing in the Steps and Sobriety""",Odomtology 12-Step Recovery Media,"One of my favorite AA speakers, Earl H. takes on the topic of how to grow in sobriety. In this talk, he really goes in to depth about Steps 10, 11, and 12. While sometimes referred to as..."
AA_SPEAKER,2014-08-13T18:36:23.000Z,"Bob D. - AA Speaker - ""How my perception changed through AA""",Odomtology 12-Step Recovery Media,"Recorded a few months ago, this talk by Bob D. is an instant classic! With his usual captivating style Bob shares aspects of his story that changed his whole attitude and outlook on life...."
AA_SPEAKER,2012-12-19T16:58:40.000Z,"Matthew M. - AA Speaker - ""Peace and Happiness in Recovery, no matter what""",Odomtology 12-Step Recovery Media,"Matthew M. has a powerful story.. Great speaker, and some good jokes and funny stories along the way! For anyone questioning AA success rate or thinks the program doesn't work, listen to this..."
AA_SPEAKER,2014-01-06T21:38:21.000Z,Julie M. - AA Speaker - (This talk will bring you to tears!),Odomtology 12-Step Recovery Media,"One of the most powerful stories of Recovery and Redemption I have ever heard from one of the most incredible AA speakers I have ever witnessed, this is Julie M. Hope for the future is such..."
AA_SPEAKER,2013-04-10T19:45:23.000Z,"Sandy B. - AA Speaker - ""Letting Go, Letting God""",Odomtology 12-Step Recovery Media,"In this tape, one of the best AA speakers Sandy B. shares on the topic of ""Letting Go."" There is a LOT of practical, useful tips in this tape, and it is a great help to those who are having..."
AA_SPEAKER,2013-05-28T18:44:58.000Z,"Mark H. - AA Speakers - ""What God can do"" (Steps 10,11, and 12)",Odomtology 12-Step Recovery Media,"Awesome talk by one of my favorite AA speakers, Mark H. He shares in his signature no-nonsense way about living the program on a daily basis and shares his experience with personal inventory,..."
AA_SPEAKER,2013-04-10T22:32:46.000Z,"Don P. ""Precisely How We Recovered"" - AA Speaker - 12-Step ""Alcoholism Recovery""",Odomtology 12-Step Recovery Media,"Don P. is one of the greatest AA speakers of all time. In this workshop, he shares his story of recovery as it parallels the Program of Recovery laid out in the Big Book of Alcoholics Anonymous...."
AA_SPEAKER,2013-02-13T16:33:44.000Z,"Chris R. ""Half Measures Availed Us Nothing"" AA Speakers 12 Step ""Alcohol Recovery""",Odomtology 12-Step Recovery Media,This tape is GREAT! Chris S. (another great AA speaker) is on at the end for a bit too. Addiction treatment WORKS! The Twelve Step Model has been utilized as a treatment for alcohol abuse...
AA_SPEAKER,2014-02-27T22:08:25.000Z,"Earl H. - AA Speaker - ""The Path to Freedom""",Odomtology 12-Step Recovery Media,"LOVE this tape by one of the all-time best AA speakers, Earl H. His talks are always so inspiring and he relates the message in such a creative and captivating way! This tape has plenty of..."
AA_SPEAKER,2013-07-01T21:00:44.000Z,"Bob D. - AA Speaker - ""Turn our will and our lives over to the care of God"" NEW 2013",Odomtology 12-Step Recovery Media,"Bob D. does it again with this share on the Third Step of Alcoholics Anonymous! Recorded earlier this year in 2013, Bob gives a powerful synopsis of this step and how it is worked using the..."
AA_SPEAKER,2013-01-04T19:00:38.000Z,"Paul O. ""Acceptance is the Answer"" AA Speakers 12-Step ""Alcoholism Recovery""",Odomtology 12-Step Recovery Media,"This is Dr. Paul. GREAT AA speaker! He is the author of ""Acceptance is the Answer"" in the Big Book. (Formerly known as ""Doctor, Alcoholic, Addict"") Addiction treatment WORKS! The Twelve Step..."
AA_SPEAKER,2015-03-12T18:07:59.000Z,"Bob D. - AA Speaker - ""The Garden of God""",Odomtology 12-Step Recovery Media,"One of the most captivating and moving talks by Bob D., one of the BEST AA speakers to ever have taken the podium! If you have not heard Bob speak before, you are in for a treat! If you have,..."
AA_SPEAKER,2017-03-08T18:58:44.000Z,Women AA Speakers - The Women of Alcoholics Anonymous,AA Speakers,
AA_SPEAKER,2012-12-19T17:33:55.000Z,"Charlie P. - AA Speaker - ""From being Dry, to Happy in Sobriety""",Odomtology 12-Step Recovery Media,"I LOVE what Charlie has to say! Suffering under the weight of untreated alcoholism, he tells about how he managed to get the Program of Recovery that led to the remarkable life he has today!..."
AA_SPEAKER,2013-12-02T19:03:21.000Z,"KC P. - AA Speaker - ""If God Brings You To It, He Will Bring You Through It!""",Odomtology 12-Step Recovery Media,"I LOVE this talk by KC. He shares about his alcoholism, recovery, and the challenges he has experienced in his life. This is VERY inspirational, and I highly recommend it for anyone who is..."
AA_SPEAKER,2014-03-26T18:52:51.000Z,"Lila R. - AA Speaker - ""A New World""",Odomtology 12-Step Recovery Media,"This is a really great talk by one of the most experienced AA speakers out there. Lila is hilarious, witty, and has a wealth of recovery experience after many, many decades of sobriety. She..."
AA_SPEAKER,2013-03-13T20:08:53.000Z,Fr Joseph M. - AA Speaker - Sharing his personal story of Alcoholism Recovery,Odomtology 12-Step Recovery Media,"Father Joe M. shares his experience, strength, and hope! Love you Father Joe, thank you! :) Addiction treatment WORKS! The Twelve Step Model has been utilized as a treatment for alcohol abuse..."
AA_SPEAKER,2015-10-09T03:56:38.000Z,"AA Speaker - Johnny H. from Long Beach, CA",Jeff Spence,"Johnny H from Long Beach, California @ The Metairie Group's 58th Anniversary Speak & Eat (Metairie, Louisiana)(Greater New Orleans Area)"
AA_SPEAKER,2014-11-05T19:48:25.000Z,Mark H. - AA Speaker - His Final Talk,Odomtology 12-Step Recovery Media,"Recorded less than a month before he died in 2010, this is the final tape of the legendary AA speaker, Mark H. He brings his usual brilliant articulation of recovery to the talk, as well as..."
NA_SPEAKER,2014-03-05T15:35:21.000Z,"Scott H. - NA Speaker - ""Staying in the Now, Living in Today""",Odomtology 12-Step Recovery Media,"Awesome share by one of my favorite NA speakers, Scott H. I love the way he relates to the addict in this tape as he tells his story of recovering from a hopeless addiction to a wonderful..."
NA_SPEAKER,2013-01-24T22:48:37.000Z,Narcotics Anonymous Speakers - NA Speakers,Odomtology 12-Step Recovery Media,"ONLY the BEST NA speaker tapes! Narcotics Anonymous Speaker Collection - Narcotics Anonymous (NA) describes itself as a ""fellowship or society of men and women for whom drugs had become a major..."
NA_SPEAKER,2014-03-26T18:18:05.000Z,Jose P. - NA Speaker - VERY moving share!,Odomtology 12-Step Recovery Media,Powerful and moving talk from one of the best NA speakers I have heard. Jose tells an all too familiar story of how his addiction plummeted him in to the darkest depths of suffering. In a...
NA_SPEAKER,2015-11-20T05:24:28.000Z,Women n.a. speakers,Kathi Everett,
NA_SPEAKER,2013-07-17T17:31:02.000Z,"Frank S. - NA Speaker - ""Every day clean is a day won""",Odomtology 12-Step Recovery Media,"Frank S. is one of the best NA speaker tapes out there. One of the things that makes this talk great is that it carries a message of so much HOPE. He relates the ""Just For Today"" message..."
NA_SPEAKER,2013-01-07T20:42:34.000Z,"Benji W. - NA Speaker - ""Being an addict and the Power and Freedom of Recovery""",Odomtology 12-Step Recovery Media,"Awesome NA speaker! NA meetings share. ""Narcotics Anonymous (NA) describes itself as a ""fellowship or society of men and women for whom drugs had become a major problem"" following the Twelve..."
NA_SPEAKER,2014-02-09T23:14:15.000Z,Narcotics Anonymous Speakers - NA Speakers,AA Speakers and More,
NA_SPEAKER,2013-01-04T17:32:50.000Z,Adam T - NA Speaker - 12-Step Recovery - Drug addiction - NA Speakers - Narcotics Anonymous,Odomtology 12-Step Recovery Media,Narcotics Anonymous speaker Narcotics Anonymous Official site: http://www.na.org Make sure to like us on facebook :) We'd love to have ya stop in and see us! http://www.facebook.com/odomtology...
NA_SPEAKER,2013-07-07T02:28:40.000Z,NA Speaker - Jimmy K. - Narcotics Anonymous Speaker WCNA New York 1984,AA Speakers and More,"Please visit our website at http://www.naspeakers.org Your comments help the newcomer find our recordings! Please submit your comments about this speaker, the subject, and how this particular..."
NA_SPEAKER,2013-12-02T21:29:31.000Z,"Troy S. - NA Speaker - ""Escaping from the Prison of Addiction""",Odomtology 12-Step Recovery Media,"Very inspiring and entertaining talk by one of the BEST NA speakers, Troy (Anchovy) S. This tape has lots of laughs and carries a strong message of Recovery! Highly recommended! ""Narcotics..."
NA_SPEAKER,2015-11-30T14:00:00.000Z,T.J. - NA Speaker - Narcotics Anonymous Speaker,AA Speakers and More,
NA_SPEAKER,2014-05-07T16:47:17.000Z,"Cynthia W. - NA Speaker - ""I Can Overcome ANYTHING""",Odomtology 12-Step Recovery Media,"Wow is all I can say! This tape is not for the faint of heart. Cynthia does a masterful job of describing her addiction, her recovery, and the obstacles that she has faced in her life. Just..."
NA_SPEAKER,2015-11-28T14:00:00.000Z,Thomas P. - NA Speaker - Narcotics Anonymous Speaker,AA Speakers and More,
NA_SPEAKER,2016-01-01T18:36:08.000Z,Charles D. - NA Speaker - Narcotics Anonymous Speaker,AA Speakers and More,"Please visit our website at http://www.aaspeaker.com Your comments help the newcomer find our recordings! Please submit your comments about this speaker, the subject, and how this particular..."
NA_SPEAKER,2014-04-16T16:33:09.000Z,"Pete K. - NA Speaker - ""We Become Free to Live""",Odomtology 12-Step Recovery Media,VERY inspiring and moving share from Pete K. Lots of laughs and an enthusiastic delivery as well. There are several times where he has the crowd laughing. His talk has some great uses of...
NA_SPEAKER,2014-05-19T23:25:42.000Z,NA Speaker - Mikee D. - COMEDY PERFORMANCE,AA Speakers and More,"THIS IS NOT A RECOVERY TALK, THIS IS A COMEDY PERFORMANCE!! No topic is off limits for NA Speaker Mikee D. If you're easily offended, do NOT listen to this speaker! For those that still..."
NA_SPEAKER,2016-01-02T23:51:43.000Z,Sean G. - NA Speaker - Narcotics Anonymous Speaker,AA Speakers and More,"Please visit our website at http://www.aaspeaker.com Your comments help the newcomer find our recordings! Please submit your comments about this speaker, the subject, and how this particular..."
NA_SPEAKER,2014-02-03T20:17:02.000Z,"Alan A. - NA Speakers - ""Facing Everything To Recover""",Odomtology 12-Step Recovery Media,Alan is an AWESOME 12-Step Recovery speaker! He has an entertaining and engaging style and he is really hilarious as he details his adventures in his addiction and recovery! This is a MUST...
NA_SPEAKER,2017-05-24T21:30:39.000Z,Danny T Na Speaker - Very Funny - Narcotics Anonymous Speaker 1991,Anthony Travels,"Please help spread the message by giving us a like! This is an Na Speaker tape recording of a Narcotics Anonymous Meeting. Narcotics Anonymous (NA) describes itself as a ""nonprofit fellowship..."
NA_SPEAKER,2013-05-08T17:58:44.000Z,"Ousumane D. - NA Speakers - ""Program of Honesty""",Odomtology 12-Step Recovery Media,"Awesome NA speaker meeting on honesty and developing a relationship with a higher power. Entertaining, funny, and a wonderful, strong recovery message! :) ""Narcotics Anonymous (NA) describes..."
NA_SPEAKER,2013-06-10T18:38:27.000Z,"Tony M. - NA Speaker - ""More Revealed"" - 12-Step Recovery from Drug Addiction",Odomtology 12-Step Recovery Media,"In this tape, Narcotics Anonymous speaker Tony M. shares his story of recovery and redemption from addiction. Tony is a Mexican-American in NA and is a powerful testament to the effectiveness..."
NA_SPEAKER,2013-03-26T12:32:24.000Z,NA Speaker - Mark L. - Narcotics Anonymous Speaker,AA Speakers and More,"Please visit our website at http://www.naspeakers.org Your comments help the newcomer find our recordings! Please submit your comments about this speaker, the subject, and how this particular..."
NA_SPEAKER,2014-11-05T19:48:25.000Z,"Kal M. - NA Speaker - ""My Battle Against Addiction""",Odomtology 12-Step Recovery Media,"Buckle your seat belts folks, this is one of the BEST NA speakers I have ever heard! Kal is witty, has a great energy from the podium, and his story is packed with so many awesome insights..."
NA_SPEAKER,2017-08-16T18:57:53.000Z,A Humorous and Inspiring - NA Speaker Charles H. Florida - Narcotics Anonymous Meeting,Anthony Travels,A very funny Narcotics Anonymous Speaker shares his inspirational story of hope and recovery from the disease of addiction. Please help spread the message by giving us a like! This is an...
NA_SPEAKER,2013-01-30T17:57:04.000Z,"Gil L. - NA Speaker - ""Basic Text, Clean Life""",Odomtology 12-Step Recovery Media,"""Narcotics Anonymous (NA) describes itself as a ""fellowship or society of men and women for whom drugs had become a major problem"" following the Twelve Steps and the Twelve Traditions developed..."
NA_SPEAKER,2013-09-04T17:32:40.000Z,"Laurie M. - NA Speaker -  ""The Difference between God's Will and Self Will""",Odomtology 12-Step Recovery Media,"This is a powerful talk by a great NA speaker Laurie M., sharing about the difference between God's Will and our own. As she recounts, often times, it is tempting for the addict to get confused..."
NA_SPEAKER,2013-03-06T21:09:45.000Z,"Kermit O. - NA Speaker - ""Just For Today"" 12-Step Addiction Recovery",Odomtology 12-Step Recovery Media,"Kermit is the BEST NA speaker in my opinion! One of my all-time favorites! Lots of laughs and really good recovery stuff here, must listen, Enjoy :) From Wikipedia: ""Narcotics Anonymous (NA)..."
NA_SPEAKER,2017-03-19T20:08:33.000Z,"NA Speaker Gary C. Palm Springs, California 2016",AA Speakers and More,"This recording is being used with permission from Gary C., the owner of the intellectual property contained within. Please visit our website at http://www.naspeakers.org Your comments help..."
NA_SPEAKER,2013-07-31T19:44:02.000Z,"Mikey D. - NA Speaker - ""The Lighter Side of Drug Addiction and Recovery"" (Hilarious!)",Odomtology 12-Step Recovery Media,"One of the FUNNIEST things I have ever listened to! (It is a stand up routine, not a ""speaker meeting"" per se). Sit back, relax, and prepare to laugh uncontrollably! :) ""Narcotics Anonymous..."
NA_SPEAKER,2013-07-31T17:36:14.000Z,"Raymond - NA Speaker - ""One Addict Talking to Another""",Odomtology 12-Step Recovery Media,AWESOME share at a Narcotics Anonymous speaker meeting by Raymound! Very inspirational talk as he relates to the addict still suffering and pulls the listener with a vision of hope for the...
NA_SPEAKER,2015-06-21T18:00:02.000Z,"Hersh A. - NA Speaker - ""Relapse: Falling Asleep and Thinking I'm Still Awake""",AA Speakers and More,
NA_SPEAKER,2013-09-30T16:34:19.000Z,"Dave P. - NA Speaker - ""Staying Clean Is My Top Priority In Life""",Odomtology 12-Step Recovery Media,"Very entertaining and enlightening talk by Dave P., a GREAT NA speaker! He has a tremendous amount of insight and this tape is very inspiring! ""Narcotics Anonymous (NA) describes itself as..."
NA_SPEAKER,2013-04-03T22:53:27.000Z,NA Speaker - Ousmane - Narcotics Anonymous Speaker,AA Speakers and More,"Please visit our website at http://www.naspeakers.org Your comments help the newcomer find our recordings! Please submit your comments about this speaker, the subject, and how this particular..."
NA_SPEAKER,2013-09-04T18:23:55.000Z,"Anntionette B. - NA Speaker - ""One Disease, One Program"" 12-Step Addiction Recovery",Odomtology 12-Step Recovery Media,"POWERFUL talk by an awesome NA speaker! This tape is very motivational and really stirs the emotions! One of my favorite NA speakers! :) ""Narcotics Anonymous (NA) describes itself as a ""fellowship..."
NA_SPEAKER,2014-04-26T23:31:48.000Z,NA Speaker - Melvin L. - Narcotics Anonymous Speaker,AA Speakers and More,"Melvin is one of the best NA Speakers on our channel. Thanks for listening, and enjoy! Please visit our website at http://www.wedorecover.net."
NA_SPEAKER,2013-05-15T19:42:06.000Z,"Khalis M. - NA Speaker - ""Twelve Steps to Freedom""",Odomtology 12-Step Recovery Media,"Khalis from Harlem, New York shares a powerful story of recovery and his redemption from drug addiction! ""Narcotics Anonymous (NA) describes itself as a ""fellowship or society of men and women..."
NA_SPEAKER,2013-03-21T15:57:57.000Z,"Jimmy G. on ""Forgiveness"" NA Speaker 12-Step Addiction Recovery",Odomtology 12-Step Recovery Media,"Very inspirational and powerful share on the topic of forgiveness. Awesome NA speaker! ""Narcotics Anonymous (NA) describes itself as a ""fellowship or society of men and women for whom drugs..."
NA_SPEAKER,2013-01-10T21:49:14.000Z,Dan T. - NA Speaker 12-Step Recovery Drug Addict - Narcotics Anonymous Speaker,Odomtology 12-Step Recovery Media,Awesome share by Dan T. at a NA meeting! Lots of wonderful stories in this tape and it is personally one of my favorites! Dan exhibits an amazing recovery from drug addiction!
NA_SPEAKER,2017-05-08T23:31:07.000Z,Brownie Saturday Main Speaker Forest Grove Men's Retreat 6 11 2017,NA Speakers PDX,
NA_SPEAKER,2013-07-31T20:50:55.000Z,"Karin B. - NA Speaker - ""An Inspiration for Us All"" - Drug Addiction Recovery",Odomtology 12-Step Recovery Media,"In my opinion, this is the best NA speaker I have ever heard. Period. I would try to give a short description here, but it would not do Karin justice. All I can say is, if you listen to..."
NA_SPEAKER,2013-10-30T19:23:54.000Z,"Simon S. - NA Speaker - ""Hugs and Drugs""",Odomtology 12-Step Recovery Media,"AWESOME by one of the great NA speakers, Simon S.! His message is clear, filled with hope, and I can relate to so much of what he talks about in this tape! He deals with adversity, challenges,..."
NA_SPEAKER,2015-06-30T18:00:00.000Z,"Matt S. - NA Speaker - ""Relationships: Now it's Personal""",AA Speakers and More,
NA_SPEAKER,2017-05-05T22:10:14.000Z,Excellent! Michael M. NA Speaker Tape. Mens Meeting 1992,Anthony Travels,Michael M. NA Speaker Men's Meeting 1992. Great Narcotics Anonymous Share! I love his honesty about being clean for a long time and getting caught up in how we look as opposed to being in the...
NA_SPEAKER,2013-07-17T17:42:20.000Z,"Ron H. - NA Speakers - ""Letting Go of Baggage in Recovery""",Odomtology 12-Step Recovery Media,"Wonderful share by NA speaker Ron H. He talks about the baggage that we sometimes accumulate in recovery, and the baggage we often come to the program with. Whether it is guilt, shame, or..."
NA_SPEAKER,2013-08-19T17:08:56.000Z,"Sherman H. - NA Speaker - ""Breaking Through The Chains of my Drug Addiction""",Odomtology 12-Step Recovery Media,"I love this tape by one of the most-popular NA speakers, Sherman H. He lays out the horrors of his active addiction as well as the Program of Recovery that brought him his new life! Great..."
NA_SPEAKER,2014-05-06T22:45:35.000Z,"Matt S. NA Speaker ""Recovery and Relapse""",AA Speakers and More,
NA_SPEAKER,2014-01-17T08:14:01.000Z,Khalis M. Narcotics Anonymous Speaker,AA Speakers and More,"Please visit our website at http://www.wedorecover.net Khalis from Harlem, New York shares a powerful story of recovery and his redemption from drug addiction! ""Narcotics Anonymous (NA) describes..."
NA_SPEAKER,2014-06-19T15:22:40.000Z,"Brian ""Yellow Eyes"" - NA Speaker - ""Addict on a Mission!""",Odomtology 12-Step Recovery Media,"Brian brings such a fresh perspective to the topic of drug addiction and recovery! I really, really enjoy his enthusiasm as he tells his tale in a fun and entertaining way. There are plenty..."
NA_SPEAKER,2014-12-27T14:00:12.000Z,Ralph P. - Narcotics Anonymous -  NA Speaker,AA Speakers and More,
NA_SPEAKER,2014-05-07T18:32:28.000Z,"Benda B. - NA Speaker - ""Addicted to Drugs, Addicted to My New Life""",Odomtology 12-Step Recovery Media,"I love this share by Brenda B. who is one of my favorite NA speakers to date. Give it about a minute at first because the microphone gives a little feedback. One she gets going though, she..."
